paper_title,doi,themes,objective,methods,results,limitations,consensus_score,disagreements,evidence_rank
Education and Training in the Digital Era: A Compass for “Building Forward Better”,10.5772/intechopen.102678,"Training, Digital, Health, Jats, Network",goals and set milestones in the digital era. T,Not specified,"results consist that the foundation for diversity, inclusion and sustainable digital innovations can only be ensured by adjusted education and academi","but not least, this research contributes setting up compass for building forward better by ensuring gender-independent decision-making structures in h",0.5,Building Capacity and Training for Digital Health: Challenge,Moderate
Building Capacity and Training for Digital Health: Challenges and Opportunities in Latin America (Preprint),10.2196/preprints.16513,"Training, Digital, Health, Jats, Network",aims to present a selection of experiences in building digital health capacity in Latin America to illustrate a series of challenges and opportunities,Not specified,Not specified,"Although digital health could significantly improve health care access, use, quality, and outcomes, realizing this possibility requires personnel trai",0.5,"Education and Training in the Digital Era: A Compass for “Bu; Computer Network Training ""Building Creativity through Wifi ",Moderate
"Computer Network Training ""Building Creativity through Wifi Corner Networks in the Digital Era""",10.71200/diasya.v1i1.44,"Training, Digital, Health, Jats, Network",aims to provide basic understanding and practical skills to participants in building and managing a Wifi Corner network as an innovative digital solut,Not specified,results of the training showed an increase in participants' understanding and ability to manage computer networks independently. A,None stated,0.5,Building Capacity and Training for Digital Health: Challenge,Moderate
Building competent IT freshers: modelling digital era training frameworks,10.1108/ejtd-10-2025-0242,,Not specified,methodology uses Interpretive Structural Modeling (ISM) to construct a hierarchical enabler framework. M,Not specified,None stated,0.5,,Moderate
Perspective Chapter: Building Farmer Capacity through Agricultural Extension - A Model for True Capacity,10.5772/intechopen.112260,"Capacity, Building, Capacity Building, Countries, Development",Not specified,Not specified,Not specified,None stated,0.5,Unleashing the Power of Capacity Building: Transforming Gove; Australian farmers left behind in the digital economy – Insi,Moderate
Informatics teacher training in Hungary: building community and capacity with tele-houses,10.4324/9780203416174-28,"Nan, Community, Capacity, Training, Building",Not specified,Not specified,Not specified,None stated,0.5,,Moderate
Training Digital Volunteers: Strategies for Capacity Building in Non-Profit Organizations,10.64357/neya-gjnps-trdgvl-01,,Not specified,"design, curriculum development, skills acquisition, and program evaluation, the article highlights best practices that integrate both traditional educ",Not specified,"bute across borders and contexts, the effectiveness of their engagement depends critically on structured training. T",0.5,,Moderate
Unleashing the Power of Capacity Building: Transforming Governance and Policy Implementation in the Digital Era,10.18502/kss.v8i17.14121,"Capacity, Building, Capacity Building, Countries, Development",This study aims to outline the strengths of capacity building and the problems associated with the lack of capacity in the context of governance trans,approach and document analysis to obtain a more detailed analysis. D,"findings of this research illustrate that in terms of the quality of human resources, there are still shortcomings in skills and collaboration between",None stated,0.5,Perspective Chapter: Building Farmer Capacity through Agricu; Australian farmers left behind in the digital economy – Insi,Moderate
Analysis of the adoption of emergent technologies for risk management in the era of digital manufacturing,10.1016/j.techfore.2022.121562,"Food, Production, Different, Technologies, Demands",aiming to boost operational productivity.,Not specified,"findings, we discuss implications for operations managers effectively and efficiently to adopt I4.0 technologies aiming to boost operational productiv","Despite the potential benefits of I4.0 technologies in operations management reported in the extant literature, there has been a paucity of empirical ",0.5,Adaptation and development pathways for different types of f; Application of digital technologies for ensuring agricultura,Moderate
Australian farmers left behind in the digital economy – Insights from the Australian Digital Inclusion Index,10.1016/j.jrurstud.2020.09.001,"Capacity, Building, Capacity Building, Countries, Development",aims to address such gaps by promoting and supporting people and communities to use technology to improve social and economic well-being. T,Not specified,findings highlight a perplexing scenario in which farmers score poorly on the Index when compared to Australians who live in similar circumstances but,"Although Australia's population is concentrated in major urban centres along its coastal fringe, its less populous rural communities are important to ",0.5,Perspective Chapter: Building Farmer Capacity through Agricu; Unleashing the Power of Capacity Building: Transforming Gove,Moderate
Adaptation and development pathways for different types of farmers,10.1016/j.envsci.2019.10.007,"Food, Production, Different, Technologies, Demands","Goals and the 2015 Paris Agreement to be achieved, a mix of levers that combine policy, technology, education and awareness-raising, dietary shifts an",Not specified,Not specified,buting minimal emissions. T,0.5,Analysis of the adoption of emergent technologies for risk m; Application of digital technologies for ensuring agricultura,Moderate
"Building State Capability: Evidence, Analysis, Action",10.1093/acprof:oso/9780198747482.001.0001,,objectives. M,Not specified,Not specified,"however; schools get built but children don't learn, IT systems are introduced but not used, plans are written but not implemented. T",0.5,,Moderate
Digital platforms for development: Foundations and research agenda,10.1111/isj.12326,,purpose of this article is to contribute to the ongoing debate in information systems and ICT4D research to understand what digital platforms mean for,Not specified,Not specified,bute to the ongoing debate in information systems and ICT4D research to understand what digital platforms mean for development. T,0.5,,Moderate
Capacity Building in Developing Countries,10.64357/capacity-building-in-developing-countries-2025,,Not specified,"approaches that strengthen institutions, empower communities, and enhance local ownership. D",Not specified,None stated,0.5,,Moderate
"Community health workers at the dawn of a new era: 6. Recruitment, training, and continuing education",10.1186/s12961-021-00757-3,,Not specified,METHODS: We carried out a focused review of relevant literature. T,findings of this latter work as they pertain to training. W,"but also for those with whom CHWs work, including communities, CHW supervisors, and other cadres of health professionals. S",0.5,,Moderate
Application of digital technologies for ensuring agricultural productivity,10.1016/j.heliyon.2023.e22601,"Food, Production, Different, Technologies, Demands",Not specified,Not specified,resulting in increasing agricultural production by enabling the traceability of products and processes. T,None stated,0.5,Analysis of the adoption of emergent technologies for risk m; Adaptation and development pathways for different types of f,Moderate
"Artificial Intelligence (AI): Multidisciplinary perspectives on emerging challenges, opportunities, and agenda for resea",10.1016/j.ijinfomgt.2019.08.002,,Not specified,Not specified,significant development in technical innovation has succeeded in transforming numerous manual tasks and processes that had been in existence for decad,"butors to highlight the significant opportunities, realistic assessment of impact, challenges and potential research agenda posed by the rapid emergen",0.5,,Moderate
Harnessing the digital economy for developing countries,10.1787/4adffb24-en,,Not specified,Not specified,findings rapidly among specialists in the field concerned. T,None stated,0.5,,Moderate
"The SmartAG partner: CCAFS East Africa Bi-Annual Newsletter, July - December 2019",nan,,Not specified,Not specified,Not specified,None stated,0.5,,Moderate
An Africa-Europe agenda for rural transformation. Report by the Task Force Rural Africa,nan,,Not specified,Not specified,Not specified,None stated,0.5,,Moderate
Romania -- Systematic Country Diagnostic: background note-agriculture (English),nan,,Not specified,Not specified,Not specified,None stated,0.5,,Moderate
COMMUNITY BASED RESOURCE PLANNING - Studies from Zimbabwe and Northern Australia,nan,,Not specified,Not specified,Not specified,None stated,0.5,,Moderate
"Aquaculture Asia, Vol.13, No.3, pp.1-60, July-September 2008",nan,,Not specified,Not specified,Not specified,None stated,0.5,,Moderate
Food sovereignty and consumer sovereignty: two antagonistic goals?,10.1080/21683565.2017.1359807,,"aim of this article is to examine the different sets of demands that the two ideals of sovereignty bring about, analyze in how far these different dem",Not specified,Not specified,None stated,0.5,,Moderate
The Digitalisation of African Agriculture Report 2018-2019,nan,,aim on this power of digitalisation to more systematically transform agriculture early on. D,Not specified,Not specified,"but the application of these technologies to entire value chains, is a theme that cuts across all of our work. I",0.5,,Moderate
Urban food strategies in Central and Eastern Europe: what's specific and what's at stake?,nan,,Not specified,Not specified,Not specified,None stated,0.5,,Moderate
Rockefeller Foundation - 1999 Annual Report,nan,,Not specified,Not specified,Not specified,None stated,0.5,,Moderate
"ANALYSIS OF IRRIGATION DEVELOPMENT POST FAST TRACK LAND REFORM PROGRAMME. A CASE STUDY OF GOROMONZI DISTRICT, MASHONALAN",nan,,Not specified,Not specified,increased household and national food security.,"However, irrigation development has been a major challenge in many developing countries, including Zimbabwe. T",0.5,,Moderate
