doi,title,authors,year,citation_count,pagerank,foundational_score
10.18502/kss.v8i17.14121,Unleashing the Power of Capacity Building: Transforming Governance and Policy Implementation in the Digital Era,"Dzulkifli ., Nani Harlinda Nurdin, Zarni Adia Purna",2023,10,0.251379,1.1389
10.1016/j.ijinfomgt.2019.08.002,"Artificial Intelligence (AI): Multidisciplinary perspectives on emerging challenges, opportunities, and agenda for resea","Yogesh K. Dwivedi, Laurie Hughes, Elvira Ismagilova, Gert Aarts, Crispin Coombs,",2019,4015,0.069771,0.7414
10.64357/capacity-building-in-developing-countries-2025,Capacity Building in Developing Countries,"Neya Global, Anna Kazanskaia",2025,73,0.037714,0.4001
10.1016/j.heliyon.2023.e22601,Application of digital technologies for ensuring agricultural productivity,"Rambod Abiri, Nastaran Rizan, Siva K. Balasundram, Arash Bayat Shahbazi, Hazandy",2023,279,0.037714,0.3336
10.1111/isj.12326,Digital platforms for development: Foundations and research agenda,"Carla Bonina, Kari Koskinen, Ben Eaton, Annabelle Gawer",2021,465,0.037714,0.3233
10.1016/j.techfore.2022.121562,Analysis of the adoption of emergent technologies for risk management in the era of digital manufacturing,"Oscar Rodríguez-Espíndola, Soumyadeb Chowdhury, Prasanta Kumar Dey, Pável Albore",2022,253,0.037714,0.3082
10.1016/j.envsci.2019.10.007,Adaptation and development pathways for different types of farmers,"Lindsay C. Stringer, Evan Fraser, D. Harris, Christopher J. Lyon, Laura Pereira,",2019,309,0.037714,0.2904
10.1093/acprof:oso/9780198747482.001.0001,"Building State Capability: Evidence, Analysis, Action","Matt Andrews, Lant Pritchett, Michael Woolcock",2017,334,0.037714,0.2855
10.1787/4adffb24-en,Harnessing the digital economy for developing countries,"Carl J. Dahlman, Sam Mealy, Martin Wermelinger",2016,243,0.037714,0.2695
10.1186/s12961-021-00757-3,"Community health workers at the dawn of a new era: 6. Recruitment, training, and continuing education","Meike Schleiff, Iain Aitken, Mohammad Ariful Alam, Zufan Abera Damtew, Henry B. ",2021,133,0.037714,0.2669
