Theme,Year,Paper_Count,Growth_Rate,Citation_Count
"Capacity, Building, Capacity Building, Countries, Development",2016,1,0.53,243
"Capacity, Building, Capacity Building, Countries, Development",2017,1,0.53,334
"Capacity, Building, Capacity Building, Countries, Development",2018,0,0.53,0
"Capacity, Building, Capacity Building, Countries, Development",2019,0,0.53,0
"Capacity, Building, Capacity Building, Countries, Development",2020,1,0.53,120
"Capacity, Building, Capacity Building, Countries, Development",2021,0,0.53,0
"Capacity, Building, Capacity Building, Countries, Development",2022,0,0.53,0
"Capacity, Building, Capacity Building, Countries, Development",2023,2,0.53,10
"Capacity, Building, Capacity Building, Countries, Development",2024,0,0.53,0
"Capacity, Building, Capacity Building, Countries, Development",2025,1,0.53,73
"Capacity, Building, Capacity Building, Countries, Development",2026,0,0.53,0
"Food, Production, Different, Technologies, Demands",2017,1,0.0,0
"Food, Production, Different, Technologies, Demands",2018,0,0.0,0
"Food, Production, Different, Technologies, Demands",2019,1,0.0,309
"Food, Production, Different, Technologies, Demands",2020,0,0.0,0
"Food, Production, Different, Technologies, Demands",2021,0,0.0,0
"Food, Production, Different, Technologies, Demands",2022,1,0.0,253
"Food, Production, Different, Technologies, Demands",2023,1,0.0,279
"Food, Production, Different, Technologies, Demands",2024,0,0.0,0
"Food, Production, Different, Technologies, Demands",2025,0,0.0,0
"Food, Production, Different, Technologies, Demands",2026,0,0.0,0
"Nan, Community, Capacity, Training, Building",2013,1,0.0,0
"Nan, Community, Capacity, Training, Building",2014,0,0.0,0
"Nan, Community, Capacity, Training, Building",2015,0,0.0,0
"Nan, Community, Capacity, Training, Building",2016,0,0.0,0
"Nan, Community, Capacity, Training, Building",2017,0,0.0,0
"Nan, Community, Capacity, Training, Building",2018,0,0.0,0
"Nan, Community, Capacity, Training, Building",2019,0,0.0,0
"Nan, Community, Capacity, Training, Building",2020,0,0.0,0
"Nan, Community, Capacity, Training, Building",2021,0,0.0,0
"Nan, Community, Capacity, Training, Building",2022,0,0.0,0
"Nan, Community, Capacity, Training, Building",2023,1,0.0,0
"Nan, Community, Capacity, Training, Building",2024,0,0.0,0
"Nan, Community, Capacity, Training, Building",2025,0,0.0,0
"Nan, Community, Capacity, Training, Building",2026,0,0.0,0
"Training, Digital, Health, Jats, Network",2019,2,0.83,4017
"Training, Digital, Health, Jats, Network",2020,1,0.83,0
"Training, Digital, Health, Jats, Network",2021,2,0.83,598
"Training, Digital, Health, Jats, Network",2022,1,0.83,2
"Training, Digital, Health, Jats, Network",2023,0,0.83,0
"Training, Digital, Health, Jats, Network",2024,0,0.83,0
"Training, Digital, Health, Jats, Network",2025,2,0.83,3
"Training, Digital, Health, Jats, Network",2026,1,0.83,0
